question_id,module,section,subtopic,difficulty,before_key_chars,before_mean_distractor_chars,before_advantage,before_key_longest,before_key_rank,after_key_chars,after_mean_distractor_chars,after_advantage,after_key_longest,after_key_rank,distractor_feedback
q-p1-3c-004,emergency-ops,m5-capacity,3c,analysis,204,79.7,124.3,YES,1,240,252.0,-12.0,no,4,3
q-m1-002,transmission-ops,m1-protection,2a,application,156,34.3,121.7,YES,1,210,198.0,12.0,YES,1,3
q-b9-03,operating-limits,m3-sol-irol,2e,application,162,49.3,112.7,YES,1,210,206.0,4.0,no,2,3
q-em-019,emergency-ops,m5-disturbances,4b,application,125,23.7,101.3,YES,1,161,173.0,-12.0,no,4,3
q-m7-009,comms-coord,m7-telemetry-equip,6d,application,123,22.3,100.7,YES,1,159,171.0,-12.0,no,4,3
q-m3-013,operating-limits,m3-sol-irol,5e,analysis,151,56.3,94.7,YES,1,199,195.0,4.0,no,2,3
q-b9-08,voltage-reactive,m2-reactive-sources,2b,application,148,54.7,93.3,YES,1,195,194.0,1.0,no,3,3
q-em-015,restoration,m6-restoration,4a,application,120,27.0,93.0,YES,1,156,168.0,-12.0,no,4,3
q-f-030,foundations,f-limits,5e,application,124,33.7,90.3,YES,1,172,168.0,4.0,no,2,3
q-m7-002,comms-coord,m7-reporting,6a,recall,118,27.7,90.3,YES,1,172,160.0,12.0,YES,1,3
q-em-014,restoration,m6-cold-load,4a,application,117,27.0,90.0,YES,1,164,163.0,1.0,no,3,3
q-m4-005,protection,m4-coordination,2a,analysis,140,51.3,88.7,YES,1,176,188.0,-12.0,no,4,3
q-p2-017,emergency-ops,m5-operating-plan-tabletop,4e,analysis,132,43.3,88.7,YES,1,186,174.0,12.0,YES,1,3
q-m3-007,operating-limits,m3-response,5c,recall,111,24.0,87.0,YES,1,158,157.0,1.0,no,3,3
q-em-017,emergency-ops,m5-disturbances,4b,recall,121,34.3,86.7,YES,1,169,165.0,4.0,no,2,3
q-p2-014,emergency-ops,m5-operating-plan-tabletop,3b,analysis,110,23.3,86.7,YES,1,158,154.0,4.0,no,2,3
q-p2-020,transmission-ops,m1-ems-data-quality,5c,application,111,24.3,86.7,YES,1,147,159.0,-12.0,no,4,3
q-m7-008,comms-coord,m7-telemetry-equip,6d,recall,106,19.7,86.3,YES,1,153,152.0,1.0,no,3,3
