standard,title,family,question_count
TOP-001-6,Transmission Operations,TOP,9
TOP-002-5,Operations Planning,TOP,0
TOP-003-6.1,Transmission Operator and Balancing Authority Data and Information Specification,TOP,0
TOP-010-1(i),Real-time Reliability Monitoring and Analysis Capabilities,TOP,5
IRO-001-4,Reliability Coordination – Responsibilities,IRO,2
IRO-002-7,Reliability Coordination – Monitoring and Analysis,IRO,1
IRO-006-5,Reliability Coordination – Transmission Loading Relief (TLR),IRO,1
IRO-006-EAST-2,Transmission Loading Relief Procedure for the Eastern Interconnection,IRO,0
IRO-006-WECC-3,Qualified Path Unscheduled Flow (USF) Relief,IRO,0
IRO-008-3,Reliability Coordinator Operational Analyses and Real-time Assessments,IRO,3
IRO-009-2,Reliability Coordinator Actions to Operate Within IROLs,IRO,3
IRO-010-5,Reliability Coordinator Data and Information Specification and Collection,IRO,0
IRO-014-3,Coordination Among Reliability Coordinators,IRO,0
IRO-017-1,Outage Coordination,IRO,0
IRO-018-1(i),Reliability Coordinator Real-time Reliability Monitoring and Analysis Capabilities,IRO,0
VAR-001-5,Voltage and Reactive Control,VAR,10
VAR-002-4.1,Generator Operation for Maintaining Network Voltage Schedules,VAR,1
VAR-501-WECC-4,Power System Stabilizer (PSS),VAR,0
FAC-001-4,Facility Interconnection Requirements,FAC,0
FAC-002-4,Facility Interconnection Studies,FAC,0
FAC-003-5,Transmission Vegetation Management,FAC,0
FAC-008-5,Facility Ratings,FAC,1
FAC-011-4,System Operating Limits Methodology for the Operations Horizon,FAC,8
FAC-014-3,Establish and Communicate System Operating Limits,FAC,1
FAC-501-WECC-4,Transmission Maintenance,FAC,0
EOP-004-4,Event Reporting,EOP,3
EOP-005-3,System Restoration from Blackstart Resources,EOP,6
EOP-006-3,System Restoration Coordination,EOP,1
EOP-008-2,Loss of Control Center Functionality,EOP,4
EOP-010-1,Geomagnetic Disturbance Operations,EOP,4
EOP-011-4,Emergency Operations,EOP,11
EOP-012-3,Extreme Cold Weather Preparedness and Operations,EOP,2
COM-001-3,Communications,COM,0
COM-002-4,Operating Personnel Communications Protocols,COM,5
PRC-002-5,Disturbance Monitoring and Reporting Requirements,PRC,0
PRC-004-6,Protection System Misoperation Identification and Correction,PRC,4
PRC-005-6,"Protection System, Automatic Reclosing, and Sudden Pressure Relaying Maintenance",PRC,1
PRC-006-5,Automatic Underfrequency Load Shedding,PRC,2
PRC-006-NPCC-2,Automatic Underfrequency Load Shedding (NPCC),PRC,0
PRC-006-SERC-03,Automatic Underfrequency Load Shedding Requirements (SERC),PRC,0
PRC-008-0,Underfrequency Load Shedding Equipment Maintenance and Documentation,PRC,0
PRC-010-2,Undervoltage Load Shedding,PRC,2
PRC-011-0,Undervoltage Load Shedding System Maintenance and Testing,PRC,0
PRC-012-2,Remedial Action Schemes,PRC,3
PRC-017-1,Remedial Action Scheme Maintenance and Testing,PRC,0
PRC-019-2,"Coordination of Generating Unit or Plant Capabilities, Voltage Regulating Controls, and Protection",PRC,1
PRC-023-6,Transmission Relay Loadability,PRC,1
PRC-024-3,Frequency and Voltage Protection Settings for Generating Resources,PRC,0
PRC-025-2,Generator Relay Loadability,PRC,0
PRC-026-2,Relay Performance During Stable Power Swings,PRC,0
PRC-027-1,Coordination of Protection Systems for Performance During Faults,PRC,3
PRC-028-1,Disturbance Monitoring and Reporting Requirements for Inverter-Based Resources,PRC,0
BAL-001-2,Real Power Balancing Control Performance,BAL,5
BAL-001-TRE-2,Primary Frequency Response in the ERCOT Region,BAL,0
BAL-002-3,Disturbance Control Standard – Contingency Reserve for Recovery from a Balancing Contingency Event,BAL,9
BAL-003-2,Frequency Response and Frequency Bias Setting,BAL,3
BAL-004-WECC-4,Automatic Time Error Correction,BAL,0
BAL-005-1,Balancing Authority Control,BAL,7
BAL-502-RF-03,"Planning Resource Adequacy Analysis, Assessment and Documentation",BAL,0
INT-006-5,Evaluation of Interchange Transactions,INT,1
INT-009-3,Implementation of Interchange,INT,6
